"ROAD TRIP CSV """,".""",,,,,,,,,,,,,
Odometer (mi),Trip Distance,Date,Fill Amount,Fill Units,Price per Unit,Total Price,Partial Fill,MPG,Note,Octane,Reset,Currency Code,Currency Rate,ID
19856,171,2016-4-30 12:55,9.084,Gal,2.339,21.25,,18.8243,,Regular,,,1,166
20138,282,2016-5-9 8:57,14.372,Gal,2.269,32.61,,19.6215,,Regular,,,1,168
20364,226,2016-5-15 13:29,12.357,Gal,2.359,29.15,,18.2892,,Regular,,,1,170
20661,297,2016-5-19 19:46,14.996,Gal,2.399,35.98,,19.8053,,Regular,,,1,172
20918,257,2016-5-26 8:47,13.684,Gal,2.319,31.73,,18.7811,,Regular,,,1,174
21112,194,2016-6-1 7:51,10.191,Gal,2.199,22.41,,19.0364,,Regular,,,1,176
21392,280,2016-6-4 10:55,14.487,Gal,2.349,34.03,,19.3277,,Regular,,,1,178
21651,259,2016-6-10 9:00,13.694,Gal,2.319,31.76,,18.9134,,Regular,,,1,180
21923,272,2016-6-21 17:48,14.678,Gal,2.309,33.89,,18.5311,,Regular,,,1,182
22196,273,2016-6-25 10:10,13.784,Gal,2.339,32.24,,19.8056,,Regular,,,1,184
22332,136,2016-6-26 12:06,6.647,Gal,2.399,15.95,,20.4604,,Regular,,,1,186
22553,221,2016-7-1 9:51,10.93,Gal,2.339,25.57,,20.2196,,Regular,,,1,188
22716,163,2016-7-3 12:39,9,Gal,2.319,20.87,,18.1111,,Regular,,,1,190
22901,185,2016-7-3 16:37,7.75,Gal,2.259,17.51,,23.871,,Regular,,,1,192
23145,244,2016-7-6 16:39,12.203,Gal,2.259,27.57,,19.9951,,Regular,,,1,194
23324,179,2016-7-17 10:58,9.428,Gal,2.239,21.11,,18.986,,Regular,,,1,196
23532,208,2016-7-17 16:07,10.306,Gal,2.239,23.08,,20.1824,,Regular,,,1,198
23818,286,2016-7-20 11:59,14.276,Gal,2.199,31.39,,20.0336,,Regular,,,1,200
23996,178,2016-7-23 13:46,9.987,Gal,2.199,21.96,,17.8232,,Regular,,,1,202
24282,286,2016-7-28 8:40,15.073,Gal,2.199,33.15,,18.9743,,Regular,,,1,204
24537,255,2016-8-11 17:08,14.478,Gal,2.119,30.68,Partial,17.9463,,Regular,,,1,206
24760,223,2016-8-17 19:02,12.157,Gal,2.159,26.25,,17.9463,,Regular,,,1,208
25039,279,2016-8-22 17:13,14.458,Gal,2.119,30.64,,19.2973,,Regular,,,1,210
25258,219,2016-8-27 9:04,12.022,Gal,2.299,27.64,,18.2166,,Regular,,,1,212
25541,283,2016-9-5 7:20,15.213,Gal,2.239,34.06,,18.6025,,Regular,,,1,214
25807,266,2016-9-12 17:20,14.596,Gal,2.179,31.8,,18.2242,,Regular,,,1,216
26083,276,2016-9-17 12:41,14.869,Gal,2.199,32.7,,18.5621,,Regular,,,1,218
26342,259,2016-9-23 17:34,14.174,Gal,2.129,30.18,,18.2729,,Regular,,,1,220
26581,239,2016-9-29 8:47,13.47,Gal,2.179,29.35,,17.7431,,Regular,,,1,222
26855,274,2016-10-6 8:42,15.011,Gal,2.219,33.31,,18.2533,,Regular,,,1,224
27127,272,2016-10-19 8:01,15.064,Gal,2.299,34.63,,18.0563,,Regular,,,1,226
27405,278,2016-10-25 8:45,15.158,Gal,2.219,33.64,,18.3402,,Regular,,,1,228
27680,275,2016-11-1 8:48,15.59,Gal,2.219,34.59,,17.6395,,Regular,,,1,230
27939,259,2016-11-10 8:37,14.897,Gal,2.359,35.14,,17.3861,,Regular,,,1,232
28105,166,2016-11-12 13:17,9.298,Gal,2.359,21.93,,17.8533,,Regular,,,1,234
28369,264,2016-11-15 8:41,14.949,Gal,2.359,35.26,,17.66,,Regular,,,1,236
28633,264,2016-11-21 8:12,14.893,Gal,2.359,35.13,,17.7264,,Regular,,,1,238
28873,240,2016-11-29 8:59,14.266,Gal,2.219,31.66,,16.8232,,Regular,,,1,240
29113,240,2016-12-3 12:21,13.81,Gal,2.219,30.64,,17.3787,Low tires,Regular,,,1,242
29348,235,2016-12-10 9:26,14.461,Gal,2.219,32.09,,16.2506,,Regular,,,1,244
29569,221,2016-12-15 9:08,13.549,Gal,2.259,30.61,,16.3112,,Regular,,,1,246
29795,226,2016-12-22 9:02,13.957,Gal,2.399,33.48,,16.1926,,Regular,,,1,248
30033,238,2017-1-3 17:41,13.699,Gal,2.379,32.59,,17.3735,,Regular,,,1,250
30277,244,2017-1-11 13:33,14.744,Gal,2.459,36.26,,16.5491,,Regular,,,1,252
30520,243,2017-1-17 17:20,13.595,Gal,2.379,32.34,,17.8742,,Regular,,,1,254
30777,257,2017-1-22 17:10,14.297,Gal,2.439,34.87,,17.9758,,Regular,,,1,256
30847,70,2017-1-24 17:22,4.17,Gal,2.439,10.17,,16.7866,,Regular,,,1,258
31001,154,2017-1-25 9:58,33.855,L,1.119,37.88,,17.2191,,Regular,,CAD,1.017,260
31280,279,2017-2-8 8:04,14.851,Gal,2.349,34.88,,18.7866,,Regular,,,1,262
31525,245,2017-2-20 8:52,14.51,Gal,2.159,31.33,,16.8849,,Regular,,,1,264
31780,255,2017-3-1 8:11,14.047,Gal,2.259,31.73,,18.1533,,Regular,,,1,266
32032,252,2017-3-8 17:14,14.604,Gal,2.259,32.99,,17.2555,,Regular,,,1,268
32243,211,2017-3-15 14:36,13.322,Gal,2.299,30.63,,15.8385,Bad storms. Lots of 4WD,Regular,,,1,270
32452,209,2017-3-24 10:49,12.509,Gal,2.299,28.76,,16.708,,Regular,,,1,272
32675,223,2017-3-25 0:17,11.473,Gal,2.499,28.67,,19.4369,,Regular,,,1,274
32943,268,2017-3-27 17:48,13.937,Gal,2.239,31.2,,19.2294,,Regular,,,1,276
33218,275,2017-4-5 19:08,14.777,Gal,2.339,34.56,,18.61,,Regular,,,1,278
33475,257,2017-4-11 8:50,13.75,Gal,2.319,31.89,,18.6909,,Regular,,,1,280
33748,273,2017-4-19 17:46,14.526,Gal,2.399,34.85,,18.7939,,Regular,,,1,282
33883,135,2017-4-24 17:31,7.283,Gal,2.489,18.13,,18.5363,,Regular,,,1,284
34168,285,2017-5-2 19:26,14.726,Gal,2.379,35.03,,19.3535,,Regular,,,1,286
34447,279,2017-5-16 8:34,15.003,Gal,2.399,35.99,,18.5963,,Regular,,,1,288
34733,286,2017-5-24 6:23,14.961,Gal,2.399,35.89,,19.1164,,Regular,,,1,290
35006,273,2017-6-2 17:54,14.935,Gal,2.359,35.23,,18.2792,,Regular,,,1,292
35287,281,2017-6-9 20:49,14.965,Gal,2.359,35.3,,18.7771,,Regular,,,1,294
35535,248,2017-6-17 11:13,13.741,Gal,2.319,31.87,,18.0482,,Regular,,,1,296
35815,280,2017-6-26 7:59,14.791,Gal,2.229,32.97,,18.9304,,Regular,,,1,298
36085,270,2017-7-7 17:21,14.852,Gal,2.229,33.11,,18.1794,,Regular,,,1,300
36300,215,2017-7-9 17:04,10.714,Gal,2.319,24.85,,20.0672,,Regular,,,1,302
36579,279,2017-7-13 10:05,14.865,Gal,2.219,32.99,,18.7689,,Regular,,,1,304
36821,242,2017-7-16 14:12,13.417,Gal,2.399,32.19,,18.0368,,Regular,,,1,306
37079,258,2017-7-22 15:40,13.597,Gal,2.219,30.17,,18.9748,,Regular,,,1,308
37334,255,2017-8-6 13:34,13.804,Gal,2.299,31.74,,18.4729,,Regular,,,1,310
37601,267,2017-8-14 17:59,14.575,Gal,2.289,33.36,,18.319,,Regular,,,1,312
37867,266,2017-8-23 8:09,14.987,Gal,2.339,35.05,,17.7487,,Regular,,,1,314
